# 공유 지식 인프라 15편의 이용 국면 하위코딩 (논문 §III.3)
# phase: preserve = 보존·정리 / access = 열람·이용 / produce = 창작 생산
# 뒤 국면은 앞 국면을 포함하므로 각 논문은 도달한 가장 뒤 국면으로 코딩한다.
# 판정 근거는 제목과 초록 수준이며, 원자료는 corpus_110.tsv의 no와 대응한다.
no	year	author	title	phase	signal
95	2023	조은성	국내 아트아카이브의 발전을 위한 과제 모색: 서울시립 미술아카이브의 조성과정을 중심으로	preserve	조성 과정
96	2023	이지은, 김지현	미술 아카이브 저작권 쟁점에 관한 연구	preserve	권리 조건
98	2022	신혜승	디지털 음악학: 새로운 공간, 새로운 관계 맺기 -보존에서 창조로-	access	부제가 보존에서 창조로의 이동을 과제로 제기
99	2022	정주영	남산예술센터 디지털 아카이브 개선 방안 연구	preserve	아카이브 구축 개선
100	2024	공영민	영화인 구술 아카이브의 활용 방안 연구	access	활용 방안
101	2024	김수진, 김순희	시각예술자료 아카이빙을 위한 수집정책 연구 - 국립현대미술관을 중심으로-	preserve	수집정책
102	2024	이정연	구술아카이브의 데이터 검색과 공유의 한계점과 개선 방안에 관한 연구	access	검색·공유
103	2025	정슬아, 홍승혜	디지털 인문학 관점에서 본 근대문학 데이터베이스 구축과 활용 가능성	access	활용 가능성
104	2023	김현태 외	영화 효과음원 온라인 서비스 개선방안 연구 : K-Sound Library를 중심으로	access	소재 재사용 서비스(produce 경계 사례)
105	2021	김현영, 이환수	공연예술시장 활성화를 위한 공연예술통합전산망(KOPIS) 개선방안 연구	access	통계 개방·유통
106	2024	최윤영	공연예술 아카이브 담론의 실천 연구 - 국립무형유산원 사례를 중심으로 -	preserve	담론·실천
107	2025	유지호, 김혜정	무용 아카이빙의 디지털 전환과 저작권 보호 방안 연구	preserve	전환·권리 보호
108	2023	최효진	국내 지상파 방송사의 아카이브 개방·공유 사업과 아카이브 이용자 연구 : KBS 5.18 아카이브 시민공유 프로젝트	access	개방·공유·이용자
109	2022	김지아	예술기록에 관한 분류·기술 사례 연구 - 서울시립 미술아카이브를 중심으로 -	preserve	분류·기술
110	2025	김현태 외	K-POP 디지털 아카이브의 글로벌 활용을 위한 전략 연구 : KMDC를 중심으로	access	활용 전략
